N:K9.K972.AT9.Q742 AJT8.43.QJ864.85 653.QJ86.52.AJT6 Q742.AT5.K73.K93
E:J64.A3.AQ4.QT983 AKT.86.963.AKJ75 Q875.97.K8752.42 932.KQJT542.JT.6
S:J.AKJ6.AQ.AQ8632 AT82.9842.T6532. KQ974.Q5.K.KJ954 653.T73.J9874.T7
W:K63.7.KQ954.KJ87 T52.QJ6.A2.96542 A.T98543.T86.AQT QJ9874.AK2.J73.3
N:A743.K83.A63.KT3 85.J96.QT987.987 KJ6.AQ542.J54.Q2 QT92.T7.K2.AJ654
E:AJ2.QT75.K3.K842 K9.3.A9875.T9653 Q8643.AK4.JT64.A T75.J9862.Q2.QJ7
S:T76.A2.Q42.KQJT5 K.KJ653.J86.A642 Q2.87.KT975.9873 AJ98543.QT94.A3.
W:AK98.AJ2.J85.K74 QJ72.KT983.2.JT2 653.64.Q3.AQ9653 T4.Q75.AKT9764.8
N:Q63.AJ9.AJ7532.Q 742.T75.KQ864.53 JT.KQ8632.9.9876 AK985.4.T.AKJT42
E:Q52.J9.AT63.AKT8 T9876.AK64.72.53 J43.T873.Q84.976 AK.Q52.KJ95.QJ42
S:AJ96.A53.T87.A64 KQ842.K.AQ93.J53 753.JT976.62.872 T.Q842.KJ54.KQT9
W:AKT5.AKT.JT7.K74 Q872.Q832.AQ5.Q3 9643.64.K642.J96 J.J975.983.AT852
N:AK97.8.A652.KQ65 32.Q76432.Q97.98 QJT54.9.JT84.A74 86.AKJT5.K3.JT32
E:83.AQ4.A9874.Q73 KQJT962.JT76.JT. 75.K532.Q53.K952 A4.98.K62.AJT864
S:863.KQ96.432.AK3 JT2.T54.J75.J972 AKQ975..AQT9.864 4.AJ8732.K86.QT5
W:7.AT4.K98652.AJ6 KQ52.7653.T3.K73 A943.KQ98.A74.Q5 JT86.J2.QJ.T9842
N:53.T32.AK3.AKQT5 K2.K74.J987.8743 QJT874.J96.54.J6 A96.AQ85.QT62.92
E:QT9.Q76.AK7.Q962 AK53.K952.Q3.K54 8642.AJT8.J8.A73 J7.43.T96542.JT8
S:QT5.AT8.AQJT94.2 972.96.732.K9863 AKJ43.QJ32.K5.J7 86.K754.86.AQT54
W:A96.AJ95.Q7.AJ52 753.76.T95432.Q6 J2.KQT3.AK86.974 KQT84.842.J.KT83
N:A83.A8.AK93.8764 K9.J32.QT52.AJT5 765.KT754.J87.93 QJT42.Q96.64.KQ2
E:AQ4.Q86.AJ983.73 JT873.T7.Q52.642 9.KJ542.764.AK85 K652.A93.KT.QJT9
S:2.Q84.AQT964.A84 KQJ3.A732.J3.QJ6 A9876.965.87.753 T54.KJT.K52.KT92
W:AQ72.AQ64.AT94.4 J5.KT985.K5.K972 T43.J2.QJ863.Q53 K986.73.72.AJT86
N:K9.Q84.KQ8.AKJ65 JT43.KJ93.7.9432 AQ752.5.JT95.T87 86.AT762.A6432.Q
E:AQ.7643.J6.AK653 K8754.K9.T842.Q8 J9632.AJ85.KQ7.4 T.QT2.A953.JT972
S:AKT7.A765.KQ2.52 J2.QT43.J765.J64 94.K98.T4.AKQT93 Q8653.J2.A983.87
W:Q8.A762.AK97.KQT KJ763.983.JT5.52 T954.JT.864.A984 A2.KQ54.Q32.J763
N:A9.QT.KJ63.K9642 876542.K96.Q95.7 K3.75432.84.AQT3 QJT.AJ8.AT72.J85
E:J4.K2.AKQT43.QT7 973.A876.8752.54 Q8.Q954.J9.AK862 AKT652.JT3.6.J93
S:AKJ9.KQ.K52.KT86 754.T765.J4.J532 .J9842.AT987.Q94 QT8632.A3.Q63.A7
W:A984.KJT.A98.KJ4 QJ.8765.6432.Q83 KT763.43.KJ75.72 52.AQ92.QT.AT965
N:J.JT96.AQ532.AT8 KQ873.5.KJ4.KJ62 T952.Q743.T76.Q9 A64.AK82.98.7543
E:QT.AK62.AQT7.K86 975.3.3.AQJT9542 K43.QJT874.J52.7 AJ862.95.K9864.3
S:K97.AK98.AJT32.7 QT86.J42.85.AK65 542.QT76.96.QT82 AJ3.53.KQ74.J943
W:KJT..AQT84.QT986 Q84.A9732.K62.54 A63.KJT65.95.K73 9752.Q84.J73.AJ2
N:QT87.AKJ9.K2.832 K9543.T5.9.KJ765 A62.Q763.AT4.AQT J.842.QJ87653.94
E:2.AJT4.KQ97.Q632 AT87.K986.AJ32.K K6.752.T854.JT94 QJ9543.Q3.6.A875
